Ward,Lat,Long
1,38.674678,-90.253169
2,38.699676,-90.219104
3,38.663135,-90.210726
4,38.660509,-90.239973
5,38.641149,-90.194131
6,38.626080,-90.218250
7,38.612836,-90.197704
8,38.610891,-90.254460
9,38.596848,-90.217006
10,38.611537,-90.280413
11,38.550913,-90.255464
12,38.563103,-90.283793
13,38.571089,-90.266316
14,38.585402,-90.271787
15,38.597225,-90.253456
16,38.584006,-90.299339
17,38.628268,-90.250167
18,38.649006,-90.247185
19,38.632593,-90.231392
20,38.586601,-90.230374
21,38.677668,-90.230853
22,38.680055,-90.274133
23,38.598391,-90.300438
24,38.619279,-90.300540
25,38.581007,-90.248184
26,38.658343,-90.278362
27,38.706851,-90.249563
28,38.638602,-90.286205
