Month,Avg_Temp,YearMonth
January,33.8,2016_01
February,40.2,2016_02
March,53,2016_03
April,59.9,2016_04
May,66.4,2016_05
June,81.3,2016_06
July,81.5,2016_07
August,80.7,2016_08
September,75.4,2016_09
October,65.5,2016_10
November,52.2,2016_11
December,34.7,2016_12
January,37.9,2017_01
February,47.7,2017_02
March,49.9,2017_03
April,62.3,2017_04
May,68.7,2017_05
June,78.4,2017_06
July,84.3,2017_07
August,75.7,2017_08
September,73.2,2017_09
October,61.6,2017_10
November,48.1,2017_11
December,34.8,2017_12
January,29.6,2018_01
February,38,2018_02
March,43.1,2018_03
April,49.8,2018_04
May,75.4,2018_05
June,80.3,2018_06
July,80.3,2018_07
August,79.7,2018_08
September,74.8,2018_09
October,59.5,2018_10
November,38.8,2018_11
December,39,2018_12
